Begin,End,Event-no-links,Event_link_1,details_link,Theater,Source,Source URL
01/03/1917,,"The Zimmerman telegram offering German support to a Mexican attack on the US is made public in US newspapers, with the approval of President Wilson ",244,,Political,,
05/03/1917,,"British government approves the creation of a National War Museum in London (changed to the Imperial War Museum in December, to reflect the efforts of people from across the Empire)",245,,Social,,
11/03/1917,,Baghdad captured by British forces in Mesopotamia,246,,Military,,
12/03/1917,,Start of the first revolution in Russia,247,,Social,,
15/03/1917,,Tsar Nicholas II abdicates as ruler of Russia. The Provisional Government assumes power.,248,,Political,,
26/03/1917,,First Battle of Gaza. British forces from Egypt led by General Sir Archibald Murray nearly break through Turkish lines in Palestine but fail to exploit their success.,249,,Military,,
28/03/1917,,"Women's Auxiliary Army Corps (WAAC) formed in Britain, offering women the chance to serve directly in the armed forces. Over 57,000 women enrol in the WAAC, with 9,000 serving in France.",250,,Social,,
31/03/1917,,First members of the WAAC arrive in France,251,,Social,,
03/04/1917,,Lenin arrives back in Russia by a sealed train allowed to pass through Germany from Switzerland,252,,Social,,
06/04/1917,,United States of America declares war on Germany and sides with the Allies,253,,Political,,
09/04/1917,,Battle of Arras. British forces advance over 5km (3½ miles) on the opening day. The Canadians seize Vimy Ridge. Fighting continues until 4 May with increasingly heavy casualties. ,254,,Military,,
16/04/1917,,"Second Battle of the Aisne. Offensive launched by the French under General Robert Nivelle along the Chemin des Dames. Following heavy casualties, fighting called off on 20 April after few gains.",255,,Military,,
17/04/1917,,Second Battle of Gaza. British troops in Palestine are heavily defeated by Turkish forces in a renewed attempt to break through.,256,,Military,,
24/04/1917,,First Battle of Doiran. At Salonika Allied troops launch an attack as a prelude to a wider spring offensive in the Balkans. Continues until 22 May. ,257,,Military,,
29/04/1917,,Outbreak of mutinies in French army units at Châlons-sur-Marne following their recent heavy casualties and defeat. Indiscipline continues until October.,258,,Social,,
10/05/1917,,"To combat the German submarine threat, British introduce the convoy system, moving large numbers of merchant ships together under naval protection. ",259,,Naval,,
15/05/1917,,General Robert Nivelle replaced in command of the French armies by General Phillipe Pétain,260,,Social,,
18/05/1917,,US Congress passes a bill to recruit half a million men for war service,261,,Social,,
21/05/1917,,Imperial War Graves Commission formally established in London (becoming the present Commonwealth War Graves Commission in 1960),262,,Social,,
25/05/1917,,First daylight aeroplane raid on Britain by German Gotha bombers,263,,Aviation,,
07/06/1917,,"Battle of Messines. After the explosion of 19 huge mines, British, Irish, Australian and New Zealand troops seize the Messines Ridge south of Ypres. Fighting continues until 14 June.",264,,Military,,
10/06/1917,,Battle of Ortigara. Italians launch disappointing attack on the Austro-Hungarians on the Trentino front in the Alps. Continues until 29 June.,265,,Military,,
13/06/1917,,Daylight raid on London by 18 German Gotha bombers kills 157 people and injures 432,266,,Aviation,,
17/06/1917,,Portuguese troops see action on the Western Front for the first time,267,,Military,,
28/06/1917,,First contingent of US troops arrives in France,268,,Social,,
28/06/1917,,General Sir Edmund Allenby takes over command of the Egyptian Expeditionary Force from General Sir Archibald Murray,269,,Military,,
29/06/1917,,"Russians begin a summer offensive against the Germans directed by Alexander Kerensky, war minister in the Provisional Government. They suffer a series of defeats and setbacks. Fighting continues until 18 July.",270,,Military,,
06/07/1917,,An Arab force from the Hejaz guided by T E Lawrence captures the Red Sea port of Aqaba,271,,Military,,
06/07/1917,,Conscription bill passed by the Canadian parliament,272,,Social,,
07/07/1917,,Daylight Gotha bomber raid on London kills 57 people,273,,Aviation,,
14/07/1917,,Theobald von Bethmann-Hollweg replaced as German Chancellor by Georg Michaelis,274,,Social,,
17/07/1917,,British royal family changes its name from Saxe-Coburg-Gotha to Windsor,275,,Social,,
31/07/1917,,"Third Battle of Ypres begins, popularly known as Passchendaele. Fighting continues until 10 November. ",276,,Military,,
01/08/1917,,"Heavy rain falls across the Ypres battlefields for almost the whole month, preventing any progess",277,,Military,,
01/08/1917,,Pope Benedict XV makes another appeal for peace,278,,Social,,
03/08/1917,,Mutiny in the German High Seas Fleet at Wilhelmshaven,279,,Naval,,
06/08/1917,,Alexander Kerensky becomes Prime Minister of Russia,280,,Social,,
20/08/1917,,French launch a new attack at Verdun and recapture more ground lost the previous year,281,,Military,,
03/09/1917,,Germans capture Riga on the Baltic coast using their new 'stormtrooper' tactics,282,,Military,,
11/09/1917,,"One of the French air force's leading fighter aces, Captain Georges Guynemer, shot down and killed in Belgium",283,,Aviation,,
20/09/1917,,"Battle of the Menin Road Ridge. Renewed attack by British, Australian and New Zealand troops towards Passchendaele begins steady advances in dry weather.",284,,Military,,
29/09/1917,,German Gotha bombers start night raids on London,285,,Aviation,,
19/10/1917,,Last German airship raid on London,286,,Aviation,,
24/10/1917,,"Battle of Caporetto. Austro-Hungarians and Germans break through the Italian lines on the Isonzo and force a retreat of 140km (90 miles). 300,000 Italian prisoners are taken. Fighting carries on until 10 November.",287,,Military,,
26/10/1917,,Second Battle of Passchendaele. British and Canadian troops begin the final assault on the village.,288,,Military,,
31/10/1917,,"Third Battle of Gaza. Led by Allenby, British troops, combined with an Australian attack at Beersheba, finally breaking through Turkish lines in Palestine",289,,Military,,
02/11/1917,,"British government issues the Balfour Declaration, supporting the establishment of a Jewish homeland in Palestine",290,,Social,,
07/11/1917,,"Second Russian Revolution. Bolsheviks, led by Lenin and Trotsky, seize power and overthrow the Provisional Government",291,,Social,,
10/11/1917,,Third Battle of Ypres ends with the capture of Passchendaele village,292,,Military,,
12/11/1917,,"Italian retreat from Caporetto ends. With British and French troops transferred from the Western Front, the Italians manage to establish a new front along the River Piave.",293,,Military,,
16/11/1917,,Georges Clemenceau becomes Prime Minster and Minister of War in France,294,,Social,,
20/11/1917,,"Battle of Cambrai. Using tanks, aircraft and artillery a major advance is made into the Hindenburg Line.",295,,Military,,
30/11/1917,,Germans launch strong counter-attacks at Cambrai and recapture almost all the ground they had lost,296,,Military,,
09/12/1917,,"Jerusalem taken by the British forces in Palestine, ending 673 years of Turkish rule",297,,Military,,
15/12/1917,,"Bolshevik government in Russia signs an armistice with the Germans, suspending hostilities on the Eastern Front",298,,Political,,
08/01/1918,,American President Woodrow Wilson announces '14 Points' that he believes could form the basis for a peace agreement,299,,Political,,
06/02/1918,,"Representation of the People Act receives Royal Assent, extending the right to vote to almost all British men as well as women aged over 30",300,,Social,,
23/02/1918,,Newly formed Soviet Red Army goes into action against the Germans for the first time,301,,Military,,
25/02/1918,,Rationing begins in London and the south of Britain,302,,Social,,
03/03/1918,,The Bolshevik Russian government signs a peace treaty with the Germans and other Central Powers at Brest-Litovsk,303,,Political,,
21/03/1918,,"First Battle of the Somme, 1918. The Germans launch a strong offensive in France (Operation Michael) aimed at splitting the British and French lines. The British in particular suffer heavy casualties and begin a far reaching withdrawal. Fighting continues to 5 April. ",304,,Military,,
23/03/1918,,"Following their advance through the former Allied lines, the Germans use a long range railway gun to shell Paris. Continues to 15 August.",305,,Military,,
26/03/1918,,"At a conference in Doullens, French General Ferdinand Foch becomes General in Chief of all the Allied armies in France",306,,Political,,
01/04/1918,,The Royal Air Force is formed by combining the army's Royal Flying Corps with the navy's Royal Naval Air Service,307,,Social,,
07/04/1918,,Meat rationing introduced across Britain,308,,Social,,
09/04/1918,,"Battle of the Lys. The Germans launch a second offensive (Operation Georgette) against the British line in Flanders, again capturing much ground. Fighting continues until 29 April.",309,,Military,,
09/04/1918,,Women's Auxiliary Army Corps renamed Queen Mary's Auxiliary Army Corps in recognition of their conduct during the German offensive the previous month,310,,Social,,
10/04/1918,,Third Military Service Act passed by the British parliament increasing eligibility for armed service to those aged up to 51 and men living in Ireland,311,,Social,,
14/04/1918,,"Batum, in the Caucasus, captured by Turkish troops who take advantage of Russia's withdrawal from the war to recapture lost ground",312,,Military,,
17/04/1918,,"Considered finally ready for battle, US 1st Division sent to join French Fifth Army",313,,Military,,
21/04/1918,,"Germany's top air ace, Freiherr Manfred von Richtofen, shot down and killed on the Somme",314,,Aviation,,
23/04/1918,,"Royal Navy ships launch a raid against Zeebrugge and Ostend, aimed at blocking the exits from the inland German submarine bases",315,,Political,,
19/05/1918,,"Largest and final German aeroplane raid on London, involving 33 aircraft. 49 people are killed and 177 wounded.",316,,Aviation,,
27/05/1918,,"Third Battle of the Aisne. Third German offensive (Operation Blucher) against the French line, centres on the Chemin des Dames above the River Aisne. Fighting continues to 6 June.",317,,Military,,
09/06/1918,,"Battle of the Matz. Fourth German offensive (Operation Gneisenau), hitting  the French line again, this time south of Verdun near St Mihiel. Fighting continues until 14 June.",318,,Military,,
15/06/1918,,Battle of the Piave. Austro-Hungarians launch a renewed attack on the Italian line in the north-east along the River Piave. The attack is beaten off. Fighting continues to 24 June.,319,,Military,,
15/07/1918,,"Fourth Battle of Champagne. Fifth major German attack since March. On a smaller scale, German troops assault the French line facing the River Marne. For the first time the German attack is unsuccessful. Continues to 18 July.",320,,Military,,
16/07/1918,,Former Tsar Nicholas II and his family executed by the Bolsheviks,321,,Social,,
18/07/1918,,Second Battle of the Marne. General Ferdinand Foch launches his first counter-attack after five concerted German offensives. The Allied armies take the initiative. Fighting on the Marne continues until 7 August.,322,,Military,,
26/07/1918,,"Major Edward Mannock, Britain's highest rated 'air ace', shot down and killed. Mannock was posthumously awarded the Victoria Cross.",323,,Aviation,,
05/08/1918,,Last German airship raid on Britain,324,,Aviation,,
08/08/1918,,"Battle of Amiens. British, Australian, Canadian and French forces launch a powerful strike against the German army on the Somme. General Ludendorf calls it 'the black day of the German army'. Fighting now continues until 11 November.",325,,Military,,
12/09/1918,,Battles of the Hindenburg Line. Allied troops begin attacks on the outer defences of the strong German Hindenburg Line in France.,326,,Military,,
12/09/1918,,Battle of St Mihiel. American troops launch a successful attack against the German lines south of Verdun.,327,,Military,,
15/09/1918,,French and Serbian troops at Salonika launch strong offensive against the Bulgarians and make steady gains,328,,Military,,
18/09/1918,,"Battle of Monastir-Doiran. On the Salonika front, Alllies begin an attack that leads to the capture of Doiran. Fighting continues to 24 September.",329,,Military,,
19/09/1918,,"Battle of Megiddo. In northern Palestine, Allied troops launch a devastating attack on the Turks and begin a steady advance into Syria. Fighting continues until 25 October.",330,,Military,,
26/09/1918,,Battle of Champagne and Argonne. French and American troops begin a steady push against the Germans along the southern part of the front. Fighting continues until 15 October.,331,,Military,,
27/09/1918,,Battle of the Canal du Nord. Allied troops in France begin an assault on the German Hindenburg Line. Fighting continues until 9 October.,332,,Military,,
28/09/1918,,"Battle of the Flanders Ridges. In Belgium, Allies make a strong advance from Ypres that begins to push the Germans back. Fighting continues until 10 October.",333,,Military,,
29/09/1918,,Battle of the St Quentin Canal. Allied troops successfully break through the Hindenburg Line. Fighting continues until 2 October.,334,,Military,,
30/09/1918,,Bulgaria agrees an armistice with the Allies,335,,Political,,
01/10/1918,,"Australian and British troops, supported by Arab forces, capture Damascus in Syria. Further gains follow, including the cities of Beirut, Homs and Aleppo.",336,,Military,,
03/10/1918,,Prince Max von Baden becomes German Chancellor,337,,Social,,
03/10/1918,,German government seeks an armistice based on President Wilson's 14 Points,338,,Political,,
14/10/1918,,Turkish government seeks an armistice ,339,,Political,,
16/10/1918,,Austro-Hungarian government announces the country is to become a federal nation based on its many nationalities. Hungary is to remain as a separate kingdom.,340,,Social,,
17/10/1918,,"Battle of the Selle. Allied troops renew their offensive in France, beginning a series of battles that force the Germans steadily back.",341,,Military,,
24/10/1918,,"Battle of Vittorio Veneto. Italians launch a strong offensive in the north-east along the River Piave, against the Austro-Hungarian line which begins to collapse.",342,,Military,,
26/10/1918,,General Erich Ludendorff resigns as the German army's Chief Quartermaster General,343,,Military,,
27/10/1918,,Austro-Hungarian government seeks an armistice with the Italians,344,,Political,,
30/10/1918,,Turkey signs an armistice with the Allies. Turkish troops in Mesopotamia surrender.,345,,Political,,
01/11/1918,,Serbian troops recapture Belgrade,346,,Military,,
03/11/1918,,German sailors mutiny at Kiel ,347,,Social,,
04/11/1918,,Bolshevik demonstrations begin in Germany,348,,Social,,
09/11/1918,,"The German Kaiser, Wilhelm II, abdicates and prepares to leave Germany. Germany declared a republic.",349,,Social,,
11/11/1918,,"Germany signs an armistice with the Allies, agreeing to an immediate cease fire and the withdrawal of its troops to its own borders. Fighting ends in France and Belgium at 11.00am.",350,,Political,,
11/11/1918,,Canadian troops in Belgium recapture Mons,351,,Military,,
21/11/1918,,Elements of the German High Seas Fleet surrender off Rosyth. 39 German submarines surrender at Harwich. ,352,,Naval,,
25/11/1918,,Colonel Paul von Lettow-Vorbeck ends his long campaign in German East Africa and surrenders undefeated,353,,Military,,
01/12/1918,,Allied troops enter Germany,354,,Military,,
14/12/1918,,"British Prime Minister, David Lloyd George, wins general election at the head of a national government",355,,Social,,
05/01/1919,,"Socialist unrest in Germany, known as the Spartacist Revolt. Continues to 15 January.",356,,Social,,
18/01/1919,,Peace conference opens in Paris,357,,Political,,
21/01/1919,,Irish independence declared by Sinn Fein MPs at an unofficial Irish parliament in Dublin. Begins nearly three years of increasingly bitter confrontation that ends with the formation of the Irish Free State in 1921.,358,,Social,,
25/01/1919,,Principle of League of Nations agreed at Peace conference,359,,Political,,
13/04/1919,,"British troops stationed in the Punjab in northern India kill 379 civilians and wound 1,200 more at Amritsar during protests calling for self-government in India",360,,Social,,
07/05/1919,,Allied terms for a peace treaty are handed to the German government,361,,Political,,
15/05/1919,,Greek landings in Smyrna (Izmir) develop into a Graeco-Turkish War with increasingly bitter fighting between Turkish and Greek forces. Continues until 1922.,362,,Military,,
02/06/1919,,Allied peace terms are handed to the Austrians,363,,Political,,
21/06/1919,,"The ships of the German High Seas, interned at Scapa Flow in the Orkney Islands, are sunk by their own crews",364,,Naval,,
28/06/1919,,Treaty of Versailles signed between the Allied and Associated governments and Germany,365,,Political,,
14/07/1919,,Peace celebrations held in Paris,366,,Social,,
19/07/1919,,Peace Day. Victory parade held in London. Temporary Cenotaph built to represent the dead.,367,,Social,,
30/07/1919,,British Cabinet decide to keep the Cenotaph at its location in Whitehall and replace it with a permanent structure,368,,Social,,
10/09/1919,,Treaty of Saint-Germain signed between the Allies and Austria,369,,Political,,
19/11/1919,,US Senate rejects the Treaty of Versailles and membership of the League of Nations,370,,Social,,
27/11/1919,,Treaty of Neuilly is signed with the Bulgarians,371,,Political,,
01/12/1919,,Nancy Astor becomes the first woman to take up her seat as an MP in the House of Commons,372,,Social,,
09/01/1920,,British government announces its policy of building new 'Homes Fit for Heroes',373,,Social,,
16/01/1920,,First council meeting of League of Nations held in Paris,374,,Political,,
16/01/1920,,Allied Peace conference in Paris ends,375,,Political,,
04/06/1920,,Treaty of Trianon signed with the Hungarians,376,,Political,,
09/06/1920,,Imperial War Museum opened at Crystal Palace in London by King George V,377,,Social,,
10/08/1920,,Treaty of Sévres signed between the Allies and Turkey,378,,Political,,
11/11/1920,,"At a memorial service in London the permanent Cenotaph is unveiled in Whitehall, and the Unknown Warrior buried in Westminster Abbey. Together they form the focus for British national commemoration of the dead of the First World War.",379,,Social,,
02/11/1920,,"Warren Harding elected as the 29th President of the United States in a landslide victory. Advocates a 'return to normalcy' following the the war, leading the USA to a position of isolationism. ",380,,Social,,
14/11/1920,,Russian civil war ends when White Russian forces are crushed by the Red Army of the Bolshevik government,381,,Political,,
15/11/1920,,First meeting of the League of Nations at its permanant headquarters in Geneva,382,,Political,,
